CASE,TOTAL,PASS,FAIL,SKIP
Hypervisor_CSR,129,101,2,26
Hypervisor_Interrupts,41,38,0,3
Hypervisor_Exceptions,129,123,0,6
Sha,28,28,0,0
Shcounterenw,22,18,0,4
Shgatpa,21,21,0,0
Shlcofideleg,14,1,0,13
Shtvala,50,46,2,2
Shvstvala,22,20,0,2
Shvsatpa,19,19,0,0
Sv39x4,55,55,0,0
Sv48x4,57,57,0,0
Sv57x4,57,57,0,0
Sv39x4_Sv39,161,161,0,0
Sv39x4_Sv48,164,164,0,0
Sv39x4_Sv57,167,167,0,0
Sv48x4_Sv39,164,164,0,0
Sv48x4_Sv48,168,168,0,0
Sv48x4_Sv57,172,172,0,0
Sv57x4_Sv39,167,167,0,0
Sv57x4_Sv48,172,172,0,0
Sv57x4_Sv57,177,177,0,0
Hypervisor_Smcntrpmf,7,4,2,1
Hypervisor_Smcsrind,11,11,0,0
Hypervisor_Smmpm,5,5,0,0
Hypervisor_Smnpm,6,6,0,0
Hypervisor_Smstateen,14,9,0,5
Hypervisor_PMP,8,8,0,0
Hypervisor_Ssccfg,24,8,0,16
Hypervisor_Ssccptr,4,3,0,1
Hypervisor_Sscofpmf,6,0,0,6
Hypervisor_Sscsrind,33,22,0,11
Hypervisor_Ssdbltrp,24,11,0,13
Hypervisor_Ssnpm,48,47,0,1
Hypervisor_Ssqosid,6,6,0,0
Hypervisor_Ssstateen,50,40,0,10
Hypervisor_Sstc,0,0,0,0
Hypervisor_Sstvala,8,8,0,0
Hypervisor_Svadu,7,7,0,0
Hypervisor_Svinval,15,15,0,0
Hypervisor_Svnapot,3,3,0,0
Hypervisor_Svpbmt,4,4,0,0
Hypervisor_Zicbom,40,38,0,2
Hypervisor_Zicbop,8,8,0,0
Hypervisor_Zicboz,15,14,0,1
Hypervisor_Zicfilp,44,43,0,1
Hypervisor_Zicfiss,75,74,0,1
Hypervisor_Zkr,18,18,0,0
Hypervisor_Zihintntl,7,7,0,0
Hypervisor_Zicntr,9,9,0,0
Hypervisor_Zihpm,5,4,0,1
Hypervisor_Vector,13,13,0,0
Hypervisor_Zawrs,12,12,0,0
Hypervisor_Zalrsc,40,39,0,1
Hypervisor_Zaamo,31,28,2,1
Hypervisor_Zacas,36,32,3,1
Hypervisor_Zabha,39,36,2,1
Hypervisor_Zalasr,36,34,1,1
